lat,lon
46.7,10.1
46.982237378,10.317589678
47.423361,9.369976
47.734993893,8.775243278
46.9,8.23333
47.4916,8.7060804
47.462430227,9.041188595
47.3667,8.55
47.37289,8.54356
47.371694705,8.538506147
47.3667,8.55
47.3667,8.55
47.05313,8.33534
47.461092904,8.524875308
47.365991921,8.537048258
46.6167,8.05
47.364104489,8.54502219
47.4108,8.5439
46.559166667,8.561388889
47.408901,8.59509
47.408901,8.59509
47.6833,9.06667
46.5198,6.6335
46.517533724,6.6391917
46.519598,6.637575
46.528429171,6.637085302
47.68953,9.18823
47.666666667,9.183333333
46.991849486,8.523257431
47.0704058,8.2975685
46.80800538,8.400659526
47.05,8.31
47.05,8.31
47.051660708,8.306844776
47.051660708,8.306844776
47.051660708,8.306844776
47.051660708,8.306844776
47.05,8.31
47.051660708,8.306844776
47.069497081,8.280950146
47.05,8.31
47.453006455,8.564135172
47.05,8.31
47.05,8.31
47.051660708,8.306844776
47.051660708,8.306844776
47.1167,8.75
46.15,7.18333
46.831666667,9.321111111
47.43705796,8.463581813
46.28637939,8.99242293
46.5210686,6.6291599
46.507355242,6.628457103
46.5198,6.6335
46.5198,6.6335
46.533873912,6.60677652
46.506813553,6.626288517
46.5198,6.6335
46.50684284,6.626660554
46.50959563,6.62479
46.506813553,6.626288517
46.5198,6.6335
46.522882067,6.632990576
47.548224852,7.593453541
46.506813553,6.626288517
46.5198,6.6335
46.506813553,6.626288517
46.520809228,6.630947459
46.520809228,6.630947459
46.5198,6.6335
46.507698119,6.63004934
46.506813553,6.626288517
46.5198517,6.6353302
46.520567,6.626841
46.530603329,6.6090318
46.5198,6.6335
46.50959563,6.62479
46.5201988,6.6316199
46.5198,6.6335
46.5142714,6.629856277
46.5198,6.6335
46.52178,6.62863
46.52174279,6.627188729
46.5198,6.6335
46.5198,6.6335
46.5198,6.6335
46.5198,6.6335
46.508151847,6.624014355
46.51524,6.63547
46.5198,6.6335
46.540571478,6.631892843
46.522478806,6.634557434
46.5198,6.6335
46.2035,6.1519
46.285246164,7.539686812
46.413987449,6.927975037
46.414166667,6.9275
46.4970589,9.8381701
46.46011,9.79574
46.4973,9.8407199
46.489530536,9.807914934
46.497324507,9.837891617
46.46011,9.79574
46.48475566,9.833747129
46.5,9.83333
46.497324507,9.837891617
47.382694496,8.529994849
46.497324507,9.837891617
46.50821859,9.819229743
46.5,9.83333
46.497324507,9.837891617
46.497340119,9.8379523
46.497324507,9.837891617
46.5,9.83333
46.497324507,9.837891617
46.490314793,9.82125747
46.520809228,6.630947459
46.461944539,9.7966758
46.489530536,9.807914934
46.497324507,9.837891617
46.505395536,9.787709691
46.497324507,9.837891617
46.497996831,9.839027608
46.5,9.83333
46.497324507,9.837891617
46.5,9.83333
46.948749889,7.380325675
46.563013957,7.903577326
46.315197366,7.940477339
46.9448662,7.4144289
46.003491324,8.960580342
46.00749956,8.962934017
46.003945956,8.955025129
46.003838138,8.951426705
46.00749956,8.962934017
46.003838138,8.951426705
46.003491324,8.960580342
46.003838138,8.951426705
46.003838138,8.951426705
46.003838138,8.951426705
46.003838138,8.951426705
46.003838138,8.951426705
46.003491324,8.960580342
46.00632,8.95701
46.005424146,9.002853462
46.003838138,8.951426705
46.004896425,8.956014485
46.003838138,8.951426705
46.003945956,8.955025129
46.003838138,8.951426705
47.659891114,9.177941366
47.666666667,9.183333333
46.681044913,7.863701293
46.68499365,7.855741318
46.4333,6.91667
46.4333,6.91667
46.438717805,6.906034047
46.4333,6.91667
46.4333,6.91667
46.4333,6.91667
46.0167,7.75
46.021555919,7.748323017
46.0219,7.7544
46.0167,7.75
45.971314675,7.722232277
47.636617203,7.67853765
46.379589169,8.035692167
46.952884,7.44471
46.95,7.45
47.05,8.31
46.94953,7.4408
46.94769501,7.443642515
46.95,7.45
46.94884695,7.44443409
46.945309775,7.439224175
46.95,7.45
46.95,7.45
46.95,7.45
46.95,7.45
46.95,7.45
46.95,7.45
46.9519,7.46028
47.3667,8.33333
46.9167,7.46667
46.9167,7.46667
46.2667,6.15
46.238333333,6.109444444
46.2,6.15
47.41499,8.59672
45.8111206,9.0715687
47.5667,7.6
47.5667,7.6
47.563840792,7.600107287
47.563840792,7.600107287
47.563840792,7.600107287
47.55429,7.59403
47.5667,7.6
47.56627,7.59031
47.5667,7.6
47.5667,7.6
47.5613699,7.59206
47.558844385,7.581873555
47.5667,7.6
46.9167,7.46667
47.5667,7.6
47.5667,7.6
47.57084736,7.578998831
47.563840792,7.600107287
47.591527778,7.59
47.5667,7.6
47.555608715,7.590075788
47.577631359,7.586037709
47.563840792,7.600107287
47.563840792,7.600107287
47.5667,7.6
47.564864682,7.599869527
47.564864682,7.599869527
47.563840792,7.600107287
47.563840792,7.600107287
47.563840792,7.600107287
47.563840792,7.600107287
47.563840792,7.600107287
47.551841939,7.592934739
47.563840792,7.600107287
47.5667,7.6
47.5667,7.6
47.563840792,7.600107287
47.563840792,7.600107287
47.563840792,7.600107287
46.2167,7
46.1,7.21667
46.092549436,7.232365763
46.09428,7.23197
46.1,7.21667
46.09428,7.23197
46.095811294,7.229503064
46.09428,7.23197
46.095811294,7.229503064
46.1,7.21667
46.09428,7.23197
46.1,7.21667
46.0833,7.21667
46.1,7.21667
46.1,7.21667
46.095811294,7.229503064
47.195080764,8.523143884
46.206246079,6.144843294
46.2,6.15
46.210720498,6.152017316
46.2,6.15
46.2015699,6.15554
46.2,6.15
46.2,6.15
46.2,6.15
46.205325196,6.153195672
46.204052386,6.135075102
46.2,6.15
46.22508,6.14659
46.2,6.15
46.2,6.15
46.206246079,6.144843294
46.200880354,6.143573533
46.210434536,6.1422339
46.2,6.15
46.206246079,6.144843294
46.205325196,6.153195672
46.2,6.15
46.206246079,6.144843294
46.2096825,6.1390901
46.2,6.15
46.2,6.15
46.20582159,6.14871254
46.2,6.15
46.2,6.15
